section_name	web_url	pub_date	snippet
World	https://www.nytimes.com/aponline/2017/07/10/world/americas/ap-lt-brazil-political-crisis.html	2017-07-10T20:19:01+0000	A key Brazilian lawmaker argued Monday that President Michel Temer should be suspended from office and put on trial in the country's highest court on a corruption charge....
World	https://www.nytimes.com/reuters/2017/07/10/world/americas/10reuters-brazil-corruption.html	2017-07-10T20:18:31+0000	The rapporteur for a Brazilian lower house committee examining a corruption charge against President Michel Temer recommended on Monday that the body vote to put Temer on trial....
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-snap-stocks.html	2017-07-10T20:18:30+0000	Snap Inc shares slipped below their initial public offering price of $17 for the first time on Monday, signaling waning investor confidence in the social media company's growth potential as it faces fierce competition....
Business Day	https://www.nytimes.com/2017/07/10/business/dealbook/blackstone-group-leonard-green.html	2017-07-10T20:09:40+0000	The returns from the buyout business have been outshining stakes in hedge funds....
World	https://www.nytimes.com/reuters/2017/07/10/world/europe/10reuters-usa-trump-russia-intel.html	2017-07-10T20:09:35+0000	The U.S. Senate Intelligence Committee wants to speak with Donald Trump Jr., President Donald Trump's eldest son, about a meeting he held with a Russian lawyer during his father's  campaign, NBC News reported on Monday, citing a committee source....
World	https://www.nytimes.com/reuters/2017/07/10/world/americas/10reuters-venezuela-politics-ortega.html	2017-07-10T20:06:29+0000	From blocking off the office heliport to plotting protests, workers at Venezuela's prosecutor's office are making plans to fight her expected removal by allies of President Nicolas Maduro, according to three sources....
World	https://www.nytimes.com/reuters/2017/07/10/world/americas/10reuters-venezuela-politics.html	2017-07-10T20:00:32+0000	From blocking off the office heliport to plotting protests, workers at Venezuela's prosecutor's office are making plans to fight her expected removal by allies of President Nicolas Maduro, according to three sources....
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-twitter-abuse.html	2017-07-10T20:00:30+0000	Twitter Inc, in its latest step to curb abusive behavior on its platform, rolled out new features on Monday to help users disable notifications from accounts that they want to avoid....
World	https://www.nytimes.com/2017/07/10/world/asia/india-us-japan-war-games-china.html	2017-07-10T19:47:30+0000	The Indian Navy also announced a plan to station warships to monitor movement through the Strait of Malacca, where many Chinese vessels enter from the South China Sea....
Business Day	https://www.nytimes.com/2017/07/10/business/china-labor-ivanka-trump-shoes.html	2017-07-10T19:45:34+0000	The arrest of Hua Haifeng in May led to weeks in detention under poor conditions and multiple interrogations, and he now faces trial....
World	https://www.nytimes.com/reuters/2017/07/10/world/middleeast/10reuters-mideast-crisis-usa-islamicstate.html	2017-07-10T19:45:31+0000	With Islamic State all but ejected from one if its former capitals and surrounded in the other, members of a 72-nation coalition meet in Washington this week to try to ensure the  battlefield victories do not, once again, evaporate amid new sectar...
World	https://www.nytimes.com/2017/07/10/world/asia/india-vegetarian-airline-food-uproar.html	2017-07-10T19:39:46+0000	The state-run airline said it was saving money by no longer serving meat in coach on domestic flights, but critics saw it as discrimination against non-Hindus....
World	https://www.nytimes.com/reuters/2017/07/10/world/europe/10reuters-usa-trump-russia-meeting.html	2017-07-10T19:33:30+0000	There was nothing inappropriate about a meeting President Donald Trump's son had with a Russian attorney during the presidential campaign last year, the White House said on Monday, adding it was short and produced "absolutely no follow-up."...
World	https://www.nytimes.com/aponline/2017/07/10/world/americas/ap-lt-costa-rica-ariana-grande.html	2017-07-10T19:25:10+0000	Authorities in Costa Rica arrested a 22-year-old Colombian man suspected of threatening to stage an attack at a concert by pop singer Ariana Grande....
World	https://www.nytimes.com/reuters/2017/07/10/world/middleeast/10reuters-usa-alqaeda-plot.html	2017-07-10T19:24:34+0000	An Indian citizen pleaded guilty in a U.S. court on Monday to conspiring to aid an al Qaeda leader in Yemen and attempting to pay an undercover FBI agent $15,000 to murder a U.S. federal judge, authorities said....
World	https://www.nytimes.com/aponline/2017/07/10/world/asia/ap-as-rel-kashmir-pilgrims-attacked-the-latest.html	2017-07-10T19:22:12+0000	The Latest on suspected rebels opening fire on a passenger bus carrying Hindu pilgrims (all times local):...
World	https://www.nytimes.com/aponline/2017/07/10/world/americas/ap-lt-venezuela-political-crisis.html	2017-07-10T19:19:09+0000	Venezuela's chief prosecutor filed charges Monday against a senior National Guard commander over an attack on congress in which four lawmakers were beaten up by pro-government activists....
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-sweden-eu-banking-union.html	2017-07-10T19:12:30+0000	Sweden is looking at whether to join the European Union's banking union, local news agency TT reported on Monday, days after neighbouring Denmark said it would decide in 2019 whether would join....
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-eurozone-greece-regling.html	2017-07-10T19:09:29+0000	Greece should develop a strategy for its return to market borrowing and raise private finance before its euro zone bailout programme ends in a year's time, the head of the European Stability Mechanism said on Monday....
World	https://www.nytimes.com/aponline/2017/07/10/world/middleeast/ap-ml-israel-labor-.html	2017-07-10T19:01:08+0000	Israel's Labor party elected political newcomer Avi Gabbay as its leader Monday hoping to inject new blood into the movement that steered the country in the decades after independence but has been shut out of power for 16 years....
World	https://www.nytimes.com/aponline/2017/07/10/world/africa/ap-af-senegal-former-president.html	2017-07-10T19:01:06+0000	Hundreds of people filled the streets of Dakar outside the airport Monday to welcome former Senegal President Abdoulaye Wade, who returned to lead his party into legislative elections after spending years abroad following a failed bid for a third ...
Business Day	https://www.nytimes.com/reuters/2017/07/10/business/10reuters-britain-fairtrade-tea.html	2017-07-10T18:39:34+0000	British supermarket Waitrose said it is extending its commitment to using the Fairtrade logo on its teas, days after rival Sainsbury's faced criticism from shareholders for piloting a different scheme....
